University of Ottawa,The University of Ottawa is a top 10 Canadian research university. Our people can be found working on the frontiers of virtually every field of human endeavour; making us top of mind for industry and government when they seek special expertise and fresh insight. Our curiosity keeps the University's brilliant minds engaged; as they grow from students to scholars; citizens and specialists. The University of Ottawa is the largest bilingual (English-French) university in the world. Located at the heart of Canada’s capital; we have ready access to the great institutions of our country. Our advances in social sciences; health; science and the humanities make uOttawa a unique place to learn; grow and excel. We believe that curiosity is at the heart of every academic pursuit. A desire to learn; the courage to question and a passion for discovery are present in everything we do.,uni-images/u10.png,https://www.uottawa.ca/en,282
Queen's University,Queen’s University is a community; 170 years of tradition; academic excellence; research; and beautiful waterfront campus made of limestone buildings and modern facilities. But more than anything Queen’s is people. We are researchers; scholars; artists; professors and students with an ambitious spirit who want to develop ideas that can make a difference in the world. People who imagine together what the future could be and work together to realize it. Queen’s is one of Canada’s oldest degree-granting institutions; and has influenced Canadian higher education since 1841 when it was established by Royal Charter of Queen Victoria. Located in Kingston; Ontario; Canada; it is a mid-sized university with several faculties; colleges and professional schools; as well as the Bader International Study Centre located in Herstmonceux; East Sussex; United Kingdom. Queen’s balances excellence in undergraduate studies with well-established and innovative graduate programs; all within a dynamic learning environment.,uni-images/u11.png,https://www.queensu.ca/,19
University of Toronto,The Downtown Toronto (St. George) campus blends historical architecture and inviting green spaces as a backdrop to a truly remarkable community. Set in the centre of Toronto; one of the world’s most dynamic and diverse cities; it is a place where students; staff and faculty engage with a vibrant academic life and countless co-curricular activities. Just beyond the campus are the many events; neighbourhoods and industries that Toronto has to offer. From Scotiabank Nuit Blanche; an annual art festival that runs from dusk until dawn; to sports games at one of the Varsity Centre's high-performance facilities; this location is intrinsically linked with city's renowned cultural offerings to create a rich and unique experience for everyone. Each Faculty of Arts & Science student at the Downtown Toronto (St. George) campus is affiliated with one of seven colleges. The college system dates back to the earliest days of University of Toronto and remains one of its distinctive features. Colleges provide students with all the advantages of a small college experience within the nation’s top research university. Information on our colleges is available in this section or on the Faculty of Arts & Science website .,uni-images/u12.png,https://www.utoronto.ca/,27
University of Toronto Scarborough,An anchor institution in the eastern GTA; UTSC combines the intimacy of a close-knit campus; the breadth of the liberal arts and the depth and rigor of one of the world’s best research universities. Fostering a vibrant culture of community engagement; UTSC students cross academic as well as geographic boundaries in their pursuit of knowledge. The dynamic campus life features more than 150 student groups. Located next to popular natural landmarks in Toronto’s greenest area; UTSC is situated in one of Toronto’s most diverse and multicultural neighbourhoods. New buildings by award-winning architects characterize UTSC’s transformational growth. The Toronto Pan Am Sports Centre—a world-class fitness and training centre—represents Canada’s largest investment in amateur sport infrastructure; and opens to UTSC students and the neighbours in September 2014; and will host events for the 2015 Pan Am Parapan American Games.,uni-images/u13.png,https://www.utsc.utoronto.ca/admissions/,17
University of Toronto Mississauauga,Established in 1967; the University of Toronto Mississauga is the second-largest division of U of T (Canada’s largest university); numbering 13;300 undergraduate students; 600 graduate students; over 2;000 full- and part-time employees (including 857 permanent faculty and staff) as well as over 47;000 alumni. The campus is situated on 225 acres of protected greenbelt along the Credit River; 33 kilometres west of the university’s St. George campus in Toronto. U of T Mississauga has 15 distinct academic departments; 145 programs and 88 areas of study; and includes the In- stitute for Management & Innovation and Centre for South Asian Civilizations. The Mississauga Academy of Medicine is located on campus in the Terrence Donnelly Health Sciences Complex.,uni-images/u14.png,https://www.utm.utoronto.ca/,12
Toronto Metropolitan University,Toronto Metropolitan University (previously Ryerson University) is Canada's leader in innovative; career-focused education and a university clearly on the move. It is a distinctly urban university with a focus on innovation and entrepreneurship. TMU has a mission to serve societal need and a long-standing commitment to engaging its community. Guided by a bold Academic Plan; an ambitious research agenda; and a Master Plan to revitalize the campus and surrounding neighbourhood; TMU is the most applied-to university in Ontario relative to available spaces; and its reputation with business and community leaders continues to rise. Toronto Metropolitan University offers more than 100 undergraduate and graduate programs. Culturally diverse and inclusive; the university is home to 38;950 students; including 2;300 master's and PhD students; nearly 2;700 faculty and staff; and more than 140;000 alumni worldwide. Research at TMU is on a trajectory of success and growth: externally funded research has doubled in the past four years. The G. Raymond Chang School of Continuing Education is Canada's leading provider of university-based adult education. The university's focus on innovation and entrepreneurship is represented most distinctly by the Digital Media Zone; a place for students to collaborate and bring their digital ideas to the marketplace.,uni-images/u15.png,https://www.torontomu.ca/,67
Trent University,Consistently recognized nationally for leadership in teaching; research and student satisfaction; Trent attracts excellent students from across the country and around the world. Here; undergraduate and graduate students connect and collaborate with faculty; staff and their peers through diverse communities that span residential colleges; classrooms; disciplines; hands-on research; co-curricular and community-based activities. Across all disciplines; Trent brings critical; integrative thinking to life every day. As the University celebrates its 50th anniversary this year; Trent's unique approach to personal development through supportive; collaborative community engagement is in more demand than ever. Students lead the way by co-creating experiences rooted in dialogue; diverse perspectives and collaboration. In a learning environment that builds life-long passion for inclusion; leadership and social change; Trent's students; alumni; faculty and staff are engaged global citizens who are catalysts in developing sustainable solutions to complex issues.,uni-images/u16.png,https://www.trentu.ca/,218
University of Waterloo,In the heart of Waterloo Region; at the forefront of innovation; the University of Waterloo is home to world-changing research and inspired teaching. At the hub of a growing network of global partnerships; Waterloo will shape the future by building bridges with industry and between disciplines; institutions and communities. From quantum computing and nanotechnology to clinical psychology; engineering and health sciences research; ideas that will change the world are at the heart of who we are. Waterloo is home to: - Largest faculty of engineering in Canada - Largest actuarial science program in North America - One of the largest concentrations of quantum information scientists in the world - #1 psychology department in Canada; by citations - World’s first kinesiology department - Canada’s only English-language School of Optometry - Largest post-secondary co-operative education program in the world,uni-images/u17.png,https://uwaterloo.ca/future-students/,47
Western University,Western appeals to students with a broad world view; those seeking to study; engage with and eventually lead in the global community. Students from more than 100 countries share in classroom experiences that broaden personal perspectives and understanding. Beyond campus; students are engaged in a variety of international study-abroad; research and volunteer opportunities. Our students strike a balance between high academic achievement and athletic/social engagement that together fosters a life-long sense of pride and belonging to the Western community. Western excels in moving research out of the labs and into the lives of people around the world through public- and private-sector partnerships. Our researchers collaborate with colleagues across the campus; country and globe to inform policy on the world stage. From the operating room to the boardroom; the factory floor to spacecraft rocketing beyond the Earth’s atmosphere; Western’s research drives discovery and influences the way we live.,uni-images/u18.png,https://www.uwo.ca/,19
Wilfred Laurier University,For more than a century; Laurier has been known for academic excellence. But we’ve also been dedicated to the philosophy that our students’ success is measured through more than grades – it’s based on the quality of the lives they lead; and those they inspire. In-class learning is only part of the educational equation. Putting knowledge to work in the world is a hallmark of the Laurier experience. Integrated and engaged learning opportunities such as co-op work terms and community service are designed to help students relate what they learn in the classroom to what they experience outside of it; then coming full circle by bringing their real-world experiences back to the classroom. It’s about forming a foundation of service that our students continue long after graduation. Our innovative programs in arts and social sciences; business and economics; music; science; social work and education cover a broad spectrum. At their heart; though; they reflect a common purpose: Laurier’s determination to address global social; health and environmental problems and advance creative pursuits. Of Laurier’s 19;000 graduate and undergraduate students; 16;000 are enrolled at our Waterloo campus; which trades on the energy from this region of 350;000 where smartphone maker BlackBerry got its start. Faculties in Arts; Music; Science; Education; Graduate Studies and the School of Business and Economics are based here. Laurier is a leading force in research among Canadian universities; and many of our research centres and institutes are housed here.,uni-images/u19.png,https://www.wlu.ca/,49
